Invalid Date	Invalid Date	1/1/2000	0
9/17/2001	9/12/2001	9/22/2001	0
9/27/2001	9/22/2001	10/2/2001	0
10/7/2001	10/2/2001	10/12/2001	0
10/17/2001	10/12/2001	10/22/2001	0
10/27/2001	10/22/2001	11/1/2001	0
11/6/2001	11/1/2001	11/11/2001	0
11/16/2001	11/11/2001	11/21/2001	0
11/26/2001	11/21/2001	12/1/2001	0
12/6/2001	12/1/2001	12/11/2001	0
12/16/2001	12/11/2001	12/21/2001	0
12/26/2001	12/21/2001	12/31/2001	0
1/5/2002	12/31/2001	1/10/2002	0
1/15/2002	1/10/2002	1/20/2002	0
1/25/2002	1/20/2002	1/30/2002	0
2/4/2002	1/30/2002	2/9/2002	0
2/14/2002	2/9/2002	2/19/2002	0
2/24/2002	2/19/2002	3/1/2002	0
3/6/2002	3/1/2002	3/11/2002	0
3/16/2002	3/11/2002	3/21/2002	0
3/26/2002	3/21/2002	3/31/2002	0
4/5/2002	3/31/2002	4/10/2002	0
4/15/2002	4/10/2002	4/20/2002	0
4/25/2002	4/20/2002	4/30/2002	0
5/5/2002	4/30/2002	5/10/2002	0
5/15/2002	5/10/2002	5/20/2002	0
5/25/2002	5/20/2002	5/30/2002	0
6/4/2002	5/30/2002	6/9/2002	0
6/14/2002	6/9/2002	6/19/2002	0
6/24/2002	6/19/2002	6/29/2002	0
7/4/2002	6/29/2002	7/9/2002	0
7/14/2002	7/9/2002	7/19/2002	0
7/24/2002	7/19/2002	7/29/2002	0
8/3/2002	7/29/2002	8/8/2002	0
8/13/2002	8/8/2002	8/18/2002	0
8/23/2002	8/18/2002	8/28/2002	0
9/2/2002	8/28/2002	9/7/2002	0
9/12/2002	9/7/2002	9/17/2002	0
9/22/2002	9/17/2002	9/27/2002	0
10/2/2002	9/27/2002	10/7/2002	0
10/12/2002	10/7/2002	10/17/2002	0
10/22/2002	10/17/2002	10/27/2002	0
11/1/2002	10/27/2002	11/6/2002	0
11/11/2002	11/6/2002	11/16/2002	0
11/21/2002	11/16/2002	11/26/2002	0
12/1/2002	11/26/2002	12/6/2002	0
12/11/2002	12/6/2002	12/16/2002	0
12/21/2002	12/16/2002	12/26/2002	0
12/31/2002	12/26/2002	1/5/2003	0
1/10/2003	1/5/2003	1/15/2003	0
1/20/2003	1/15/2003	1/25/2003	0
1/30/2003	1/25/2003	2/4/2003	0
2/9/2003	2/4/2003	2/14/2003	0
2/19/2003	2/14/2003	2/24/2003	0
3/1/2003	2/24/2003	3/6/2003	0
3/11/2003	3/6/2003	3/16/2003	0
3/21/2003	3/16/2003	3/26/2003	0
3/31/2003	3/26/2003	4/5/2003	0
4/10/2003	4/5/2003	4/15/2003	0
4/20/2003	4/15/2003	4/25/2003	0
4/30/2003	4/25/2003	5/5/2003	0
5/10/2003	5/5/2003	5/15/2003	0
5/20/2003	5/15/2003	5/25/2003	0
5/30/2003	5/25/2003	6/4/2003	0
6/9/2003	6/4/2003	6/14/2003	0
6/19/2003	6/14/2003	6/24/2003	0
6/29/2003	6/24/2003	7/4/2003	0
7/9/2003	7/4/2003	7/14/2003	0
7/19/2003	7/14/2003	7/24/2003	0
7/29/2003	7/24/2003	8/3/2003	0
8/8/2003	8/3/2003	8/13/2003	0
8/18/2003	8/13/2003	8/23/2003	0
8/28/2003	8/23/2003	9/2/2003	0
9/7/2003	9/2/2003	9/12/2003	0
9/17/2003	9/12/2003	9/22/2003	0
9/27/2003	9/22/2003	10/2/2003	0
10/7/2003	10/2/2003	10/12/2003	0
10/17/2003	10/12/2003	10/22/2003	0
10/27/2003	10/22/2003	11/1/2003	0
11/6/2003	11/1/2003	11/11/2003	0
11/16/2003	11/11/2003	11/21/2003	0
11/26/2003	11/21/2003	12/1/2003	0
12/6/2003	12/1/2003	12/11/2003	0
12/16/2003	12/11/2003	12/21/2003	0
12/26/2003	12/21/2003	12/31/2003	0
1/5/2004	12/31/2003	1/10/2004	0
1/15/2004	1/10/2004	1/20/2004	0
1/25/2004	1/20/2004	1/30/2004	0
2/4/2004	1/30/2004	2/9/2004	0
2/14/2004	2/9/2004	2/19/2004	0
2/24/2004	2/19/2004	2/29/2004	0
3/5/2004	2/29/2004	3/10/2004	0
3/15/2004	3/10/2004	3/20/2004	0
3/25/2004	3/20/2004	3/30/2004	0
4/4/2004	3/30/2004	4/9/2004	0
4/14/2004	4/9/2004	4/19/2004	0
4/24/2004	4/19/2004	4/29/2004	0
5/4/2004	4/29/2004	5/9/2004	0
5/14/2004	5/9/2004	5/19/2004	0
5/24/2004	5/19/2004	5/29/2004	0
6/3/2004	5/29/2004	6/8/2004	0
6/13/2004	6/8/2004	6/18/2004	0
6/23/2004	6/18/2004	6/28/2004	0
7/3/2004	6/28/2004	7/8/2004	0
7/13/2004	7/8/2004	7/18/2004	0
7/23/2004	7/18/2004	7/28/2004	0
8/2/2004	7/28/2004	8/7/2004	0
8/12/2004	8/7/2004	8/17/2004	0
8/22/2004	8/17/2004	8/27/2004	0
9/1/2004	8/27/2004	9/6/2004	0
9/11/2004	9/6/2004	9/16/2004	0
9/21/2004	9/16/2004	9/26/2004	0
10/1/2004	9/26/2004	10/6/2004	0
10/11/2004	10/6/2004	10/16/2004	0
10/21/2004	10/16/2004	10/26/2004	0
10/31/2004	10/26/2004	11/5/2004	0
11/10/2004	11/5/2004	11/15/2004	0
11/20/2004	11/15/2004	11/25/2004	0
11/30/2004	11/25/2004	12/5/2004	0
12/10/2004	12/5/2004	12/15/2004	0
12/20/2004	12/15/2004	12/25/2004	0
12/30/2004	12/25/2004	1/4/2005	0
1/9/2005	1/4/2005	1/14/2005	0
1/19/2005	1/14/2005	1/24/2005	0
1/29/2005	1/24/2005	2/3/2005	0
2/8/2005	2/3/2005	2/13/2005	0
2/18/2005	2/13/2005	2/23/2005	0
2/28/2005	2/23/2005	3/5/2005	0
3/10/2005	3/5/2005	3/15/2005	0
3/20/2005	3/15/2005	3/25/2005	0
3/30/2005	3/25/2005	4/4/2005	0
4/9/2005	4/4/2005	4/14/2005	0
4/19/2005	4/14/2005	4/24/2005	0
4/29/2005	4/24/2005	5/4/2005	0
5/9/2005	5/4/2005	5/14/2005	0
5/19/2005	5/14/2005	5/24/2005	0
5/29/2005	5/24/2005	6/3/2005	0
6/8/2005	6/3/2005	6/13/2005	0
6/18/2005	6/13/2005	6/23/2005	0
6/28/2005	6/23/2005	7/3/2005	0
7/8/2005	7/3/2005	7/13/2005	0
7/18/2005	7/13/2005	7/23/2005	0
7/28/2005	7/23/2005	8/2/2005	0
8/7/2005	8/2/2005	8/12/2005	0
8/17/2005	8/12/2005	8/22/2005	0
8/27/2005	8/22/2005	9/1/2005	0
9/6/2005	9/1/2005	9/11/2005	0
9/16/2005	9/11/2005	9/21/2005	0
9/26/2005	9/21/2005	10/1/2005	0
10/6/2005	10/1/2005	10/11/2005	0
10/16/2005	10/11/2005	10/21/2005	0
10/26/2005	10/21/2005	10/31/2005	0
11/5/2005	10/31/2005	11/10/2005	0
11/15/2005	11/10/2005	11/20/2005	0
11/25/2005	11/20/2005	11/30/2005	0
12/5/2005	11/30/2005	12/10/2005	0
12/15/2005	12/10/2005	12/20/2005	0
12/25/2005	12/20/2005	12/30/2005	0
1/4/2006	12/30/2005	1/9/2006	0
1/14/2006	1/9/2006	1/19/2006	0
1/24/2006	1/19/2006	1/29/2006	0
2/3/2006	1/29/2006	2/8/2006	0
2/13/2006	2/8/2006	2/18/2006	0
2/23/2006	2/18/2006	2/28/2006	0
3/5/2006	2/28/2006	3/10/2006	0
3/15/2006	3/10/2006	3/20/2006	0
3/25/2006	3/20/2006	3/30/2006	0
4/4/2006	3/30/2006	4/9/2006	0
4/14/2006	4/9/2006	4/19/2006	0
4/24/2006	4/19/2006	4/29/2006	0
5/4/2006	4/29/2006	5/9/2006	0
5/14/2006	5/9/2006	5/19/2006	0
5/24/2006	5/19/2006	5/29/2006	0
6/3/2006	5/29/2006	6/8/2006	0
6/13/2006	6/8/2006	6/18/2006	0
6/23/2006	6/18/2006	6/28/2006	0
7/3/2006	6/28/2006	7/8/2006	0
7/13/2006	7/8/2006	7/18/2006	0
7/23/2006	7/18/2006	7/28/2006	0
8/2/2006	7/28/2006	8/7/2006	0
8/12/2006	8/7/2006	8/17/2006	0
8/22/2006	8/17/2006	8/27/2006	0
9/1/2006	8/27/2006	9/6/2006	0
9/11/2006	9/6/2006	9/16/2006	0
9/21/2006	9/16/2006	9/26/2006	0
10/1/2006	9/26/2006	10/6/2006	0
10/11/2006	10/6/2006	10/16/2006	0
10/21/2006	10/16/2006	10/26/2006	0
10/31/2006	10/26/2006	11/5/2006	0
11/10/2006	11/5/2006	11/15/2006	0
11/20/2006	11/15/2006	11/25/2006	0
11/30/2006	11/25/2006	12/5/2006	0
12/10/2006	12/5/2006	12/15/2006	0
12/20/2006	12/15/2006	12/25/2006	0
12/30/2006	12/25/2006	1/4/2007	0
1/9/2007	1/4/2007	1/14/2007	0
1/19/2007	1/14/2007	1/24/2007	0
1/29/2007	1/24/2007	2/3/2007	0
2/8/2007	2/3/2007	2/13/2007	0
2/18/2007	2/13/2007	2/23/2007	0
2/28/2007	2/23/2007	3/5/2007	0
3/10/2007	3/5/2007	3/15/2007	0
3/20/2007	3/15/2007	3/25/2007	0
3/30/2007	3/25/2007	4/4/2007	0
4/9/2007	4/4/2007	4/14/2007	0
4/19/2007	4/14/2007	4/24/2007	0
4/29/2007	4/24/2007	5/4/2007	0
5/9/2007	5/4/2007	5/14/2007	0
5/19/2007	5/14/2007	5/24/2007	0
5/29/2007	5/24/2007	6/3/2007	0
6/8/2007	6/3/2007	6/13/2007	0
6/18/2007	6/13/2007	6/23/2007	0
6/28/2007	6/23/2007	7/3/2007	0
7/8/2007	7/3/2007	7/13/2007	0
7/18/2007	7/13/2007	7/23/2007	0
7/28/2007	7/23/2007	8/2/2007	0
8/7/2007	8/2/2007	8/12/2007	0
8/17/2007	8/12/2007	8/22/2007	0
8/27/2007	8/22/2007	9/1/2007	0
9/6/2007	9/1/2007	9/11/2007	0
9/16/2007	9/11/2007	9/21/2007	0
9/26/2007	9/21/2007	10/1/2007	0
10/6/2007	10/1/2007	10/11/2007	0
10/16/2007	10/11/2007	10/21/2007	0
10/26/2007	10/21/2007	10/31/2007	0
11/5/2007	10/31/2007	11/10/2007	0
11/15/2007	11/10/2007	11/20/2007	0
11/25/2007	11/20/2007	11/30/2007	0
12/5/2007	11/30/2007	12/10/2007	0
12/15/2007	12/10/2007	12/20/2007	0
12/25/2007	12/20/2007	12/30/2007	0
1/4/2008	12/30/2007	1/9/2008	0
1/14/2008	1/9/2008	1/19/2008	0
1/24/2008	1/19/2008	1/29/2008	0
2/3/2008	1/29/2008	2/8/2008	0
2/13/2008	2/8/2008	2/18/2008	0
2/23/2008	2/18/2008	2/28/2008	0
3/4/2008	2/28/2008	3/9/2008	0
3/14/2008	3/9/2008	3/19/2008	0
3/24/2008	3/19/2008	3/29/2008	0
4/3/2008	3/29/2008	4/8/2008	0
4/13/2008	4/8/2008	4/18/2008	0
4/23/2008	4/18/2008	4/28/2008	0
5/3/2008	4/28/2008	5/8/2008	0
5/13/2008	5/8/2008	5/18/2008	0
5/23/2008	5/18/2008	5/28/2008	0
6/2/2008	5/28/2008	6/7/2008	0
6/12/2008	6/7/2008	6/17/2008	0
6/22/2008	6/17/2008	6/27/2008	0
7/2/2008	6/27/2008	7/7/2008	0
7/12/2008	7/7/2008	7/17/2008	0
7/22/2008	7/17/2008	7/27/2008	0
8/1/2008	7/27/2008	8/6/2008	0
8/11/2008	8/6/2008	8/16/2008	0
8/21/2008	8/16/2008	8/26/2008	0
8/31/2008	8/26/2008	9/5/2008	0
9/10/2008	9/5/2008	9/15/2008	0
9/20/2008	9/15/2008	9/25/2008	0
9/30/2008	9/25/2008	10/5/2008	0
10/10/2008	10/5/2008	10/15/2008	0
10/20/2008	10/15/2008	10/25/2008	0
10/30/2008	10/25/2008	11/4/2008	0
11/9/2008	11/4/2008	11/14/2008	0
11/19/2008	11/14/2008	11/24/2008	0
11/29/2008	11/24/2008	12/4/2008	0
12/9/2008	12/4/2008	12/14/2008	0
12/19/2008	12/14/2008	12/24/2008	0
12/29/2008	12/24/2008	1/3/2009	0
1/8/2009	1/3/2009	1/13/2009	0
1/18/2009	1/13/2009	1/23/2009	0
1/28/2009	1/23/2009	2/2/2009	0
2/7/2009	2/2/2009	2/12/2009	0
2/17/2009	2/12/2009	2/22/2009	0
2/27/2009	2/22/2009	3/4/2009	0
3/9/2009	3/4/2009	3/14/2009	0
3/19/2009	3/14/2009	3/24/2009	0
3/29/2009	3/24/2009	4/3/2009	0
4/8/2009	4/3/2009	4/13/2009	0
4/18/2009	4/13/2009	4/23/2009	0
4/28/2009	4/23/2009	5/3/2009	0
5/8/2009	5/3/2009	5/13/2009	0
5/18/2009	5/13/2009	5/23/2009	0
5/28/2009	5/23/2009	6/2/2009	0
6/7/2009	6/2/2009	6/12/2009	0
6/17/2009	6/12/2009	6/22/2009	0
6/27/2009	6/22/2009	7/2/2009	0
7/7/2009	7/2/2009	7/12/2009	0
7/17/2009	7/12/2009	7/22/2009	0
7/27/2009	7/22/2009	8/1/2009	0
8/6/2009	8/1/2009	8/11/2009	0
8/16/2009	8/11/2009	8/21/2009	0
8/26/2009	8/21/2009	8/31/2009	0
9/5/2009	8/31/2009	9/10/2009	0
9/15/2009	9/10/2009	9/20/2009	0
9/25/2009	9/20/2009	9/30/2009	0
10/5/2009	9/30/2009	10/10/2009	0
10/15/2009	10/10/2009	10/20/2009	0
10/25/2009	10/20/2009	10/30/2009	0
11/4/2009	10/30/2009	11/9/2009	0
11/14/2009	11/9/2009	11/19/2009	0
11/24/2009	11/19/2009	11/29/2009	0
12/4/2009	11/29/2009	12/9/2009	0
12/14/2009	12/9/2009	12/19/2009	0
12/24/2009	12/19/2009	12/29/2009	0
1/3/2010	12/29/2009	1/8/2010	0
1/13/2010	1/8/2010	1/18/2010	0
1/23/2010	1/18/2010	1/28/2010	0
2/2/2010	1/28/2010	2/7/2010	0
2/12/2010	2/7/2010	2/17/2010	0
2/22/2010	2/17/2010	2/27/2010	0
3/4/2010	2/27/2010	3/9/2010	0
3/14/2010	3/9/2010	3/19/2010	0
3/24/2010	3/19/2010	3/29/2010	0
4/3/2010	3/29/2010	4/8/2010	0
4/13/2010	4/8/2010	4/18/2010	0
4/23/2010	4/18/2010	4/28/2010	0
5/3/2010	4/28/2010	5/8/2010	0
5/13/2010	5/8/2010	5/18/2010	0
5/23/2010	5/18/2010	5/28/2010	0
6/2/2010	5/28/2010	6/7/2010	0
6/12/2010	6/7/2010	6/17/2010	0
6/22/2010	6/17/2010	6/27/2010	0
7/2/2010	6/27/2010	7/7/2010	0
7/12/2010	7/7/2010	7/17/2010	0
7/22/2010	7/17/2010	7/27/2010	0
8/1/2010	7/27/2010	8/6/2010	0
8/11/2010	8/6/2010	8/16/2010	0
8/21/2010	8/16/2010	8/26/2010	0
8/31/2010	8/26/2010	9/5/2010	0
9/10/2010	9/5/2010	9/15/2010	0
9/20/2010	9/15/2010	9/25/2010	0
9/30/2010	9/25/2010	10/5/2010	0
10/10/2010	10/5/2010	10/15/2010	0
10/20/2010	10/15/2010	10/25/2010	0
10/30/2010	10/25/2010	11/4/2010	0
11/9/2010	11/4/2010	11/14/2010	0
11/19/2010	11/14/2010	11/24/2010	0
11/29/2010	11/24/2010	12/4/2010	0
12/9/2010	12/4/2010	12/14/2010	0
12/19/2010	12/14/2010	12/24/2010	0
12/29/2010	12/24/2010	1/3/2011	0
1/8/2011	1/3/2011	1/13/2011	0
1/18/2011	1/13/2011	1/23/2011	0
1/28/2011	1/23/2011	2/2/2011	0
2/7/2011	2/2/2011	2/12/2011	0
2/17/2011	2/12/2011	2/22/2011	0
2/27/2011	2/22/2011	3/4/2011	0
3/9/2011	3/4/2011	3/14/2011	0
3/19/2011	3/14/2011	3/24/2011	0
3/29/2011	3/24/2011	4/3/2011	0
4/8/2011	4/3/2011	4/13/2011	0
4/18/2011	4/13/2011	4/23/2011	0
4/28/2011	4/23/2011	5/3/2011	0
5/8/2011	5/3/2011	5/13/2011	0
5/18/2011	5/13/2011	5/23/2011	0
5/28/2011	5/23/2011	6/2/2011	0
6/7/2011	6/2/2011	6/12/2011	0
6/17/2011	6/12/2011	6/22/2011	0
6/27/2011	6/22/2011	7/2/2011	0
7/7/2011	7/2/2011	7/12/2011	0
7/17/2011	7/12/2011	7/22/2011	0
7/27/2011	7/22/2011	8/1/2011	0
8/6/2011	8/1/2011	8/11/2011	0
8/16/2011	8/11/2011	8/21/2011	0
8/26/2011	8/21/2011	8/31/2011	0
9/5/2011	8/31/2011	9/10/2011	0
9/15/2011	9/10/2011	9/20/2011	0
9/25/2011	9/20/2011	9/30/2011	0
10/5/2011	9/30/2011	10/10/2011	0
10/15/2011	10/10/2011	10/20/2011	0
10/25/2011	10/20/2011	10/30/2011	0
11/4/2011	10/30/2011	11/9/2011	0
11/14/2011	11/9/2011	11/19/2011	0
11/24/2011	11/19/2011	11/29/2011	0
12/4/2011	11/29/2011	12/9/2011	0
12/14/2011	12/9/2011	12/19/2011	0
12/24/2011	12/19/2011	12/29/2011	0
1/3/2012	12/29/2011	1/8/2012	0
1/13/2012	1/8/2012	1/18/2012	0
1/23/2012	1/18/2012	1/28/2012	0
2/2/2012	1/28/2012	2/7/2012	0
2/12/2012	2/7/2012	2/17/2012	0
2/22/2012	2/17/2012	2/27/2012	0
3/3/2012	2/27/2012	3/8/2012	0
3/13/2012	3/8/2012	3/18/2012	0
3/23/2012	3/18/2012	3/28/2012	0
4/2/2012	3/28/2012	4/7/2012	0
4/12/2012	4/7/2012	4/17/2012	0
4/22/2012	4/17/2012	4/27/2012	0
5/2/2012	4/27/2012	5/7/2012	0
5/12/2012	5/7/2012	5/17/2012	0
5/22/2012	5/17/2012	5/27/2012	0
6/1/2012	5/27/2012	6/6/2012	0
6/11/2012	6/6/2012	6/16/2012	0
6/21/2012	6/16/2012	6/26/2012	0
7/1/2012	6/26/2012	7/6/2012	0
7/11/2012	7/6/2012	7/16/2012	0
7/21/2012	7/16/2012	7/26/2012	0
7/31/2012	7/26/2012	8/5/2012	0
8/10/2012	8/5/2012	8/15/2012	0
8/20/2012	8/15/2012	8/25/2012	0
8/30/2012	8/25/2012	9/4/2012	0
9/9/2012	9/4/2012	9/14/2012	0
9/19/2012	9/14/2012	9/24/2012	0
9/29/2012	9/24/2012	10/4/2012	0
10/9/2012	10/4/2012	10/14/2012	0
10/19/2012	10/14/2012	10/24/2012	0
10/29/2012	10/24/2012	11/3/2012	0
11/8/2012	11/3/2012	11/13/2012	0
11/18/2012	11/13/2012	11/23/2012	0
11/28/2012	11/23/2012	12/3/2012	0
12/8/2012	12/3/2012	12/13/2012	0
12/18/2012	12/13/2012	12/23/2012	0
12/28/2012	12/23/2012	1/2/2013	0
1/7/2013	1/2/2013	1/12/2013	0
1/17/2013	1/12/2013	1/22/2013	0
1/27/2013	1/22/2013	2/1/2013	0
2/6/2013	2/1/2013	2/11/2013	0
2/16/2013	2/11/2013	2/21/2013	0
2/26/2013	2/21/2013	3/3/2013	0
3/8/2013	3/3/2013	3/13/2013	0
3/18/2013	3/13/2013	3/23/2013	0
3/28/2013	3/23/2013	4/2/2013	0
4/7/2013	4/2/2013	4/12/2013	0
4/17/2013	4/12/2013	4/22/2013	0
4/27/2013	4/22/2013	5/2/2013	0
5/7/2013	5/2/2013	5/12/2013	0
5/17/2013	5/12/2013	5/22/2013	0
5/27/2013	5/22/2013	6/1/2013	0
6/6/2013	6/1/2013	6/11/2013	0
6/16/2013	6/11/2013	6/21/2013	0
6/26/2013	6/21/2013	7/1/2013	0
7/6/2013	7/1/2013	7/11/2013	0
7/16/2013	7/11/2013	7/21/2013	0
7/26/2013	7/21/2013	7/31/2013	0
8/5/2013	7/31/2013	8/10/2013	0
8/15/2013	8/10/2013	8/20/2013	0
8/25/2013	8/20/2013	8/30/2013	0
9/4/2013	8/30/2013	9/9/2013	0
9/14/2013	9/9/2013	9/19/2013	0
9/24/2013	9/19/2013	9/29/2013	0
10/4/2013	9/29/2013	10/9/2013	0
10/14/2013	10/9/2013	10/19/2013	0
10/24/2013	10/19/2013	10/29/2013	0
11/3/2013	10/29/2013	11/8/2013	0
11/13/2013	11/8/2013	11/18/2013	0
11/23/2013	11/18/2013	11/28/2013	0
12/3/2013	11/28/2013	12/8/2013	0
12/13/2013	12/8/2013	12/18/2013	0
12/23/2013	12/18/2013	12/28/2013	0
1/2/2014	12/28/2013	1/7/2014	0
1/12/2014	1/7/2014	1/17/2014	0
1/22/2014	1/17/2014	1/27/2014	0
2/1/2014	1/27/2014	2/6/2014	0
2/11/2014	2/6/2014	2/16/2014	0
2/21/2014	2/16/2014	2/26/2014	0
3/3/2014	2/26/2014	3/8/2014	0
3/13/2014	3/8/2014	3/18/2014	0
3/23/2014	3/18/2014	3/28/2014	0
4/2/2014	3/28/2014	4/7/2014	0
4/12/2014	4/7/2014	4/17/2014	0
4/22/2014	4/17/2014	4/27/2014	0
5/2/2014	4/27/2014	5/7/2014	0
5/12/2014	5/7/2014	5/17/2014	0
5/22/2014	5/17/2014	5/27/2014	0
6/1/2014	5/27/2014	6/6/2014	0
6/11/2014	6/6/2014	6/16/2014	0
6/21/2014	6/16/2014	6/26/2014	0
7/1/2014	6/26/2014	7/6/2014	0
7/11/2014	7/6/2014	7/16/2014	0
7/21/2014	7/16/2014	7/26/2014	0
7/31/2014	7/26/2014	8/5/2014	0
8/10/2014	8/5/2014	8/15/2014	0
8/20/2014	8/15/2014	8/25/2014	0
8/30/2014	8/25/2014	9/4/2014	0
9/9/2014	9/4/2014	9/14/2014	0
9/19/2014	9/14/2014	9/24/2014	0
9/29/2014	9/24/2014	10/4/2014	0
10/9/2014	10/4/2014	10/14/2014	0
10/19/2014	10/14/2014	10/24/2014	0
10/29/2014	10/24/2014	11/3/2014	0
11/8/2014	11/3/2014	11/13/2014	0
11/18/2014	11/13/2014	11/23/2014	0
11/28/2014	11/23/2014	12/3/2014	0
12/8/2014	12/3/2014	12/13/2014	0
12/18/2014	12/13/2014	12/23/2014	0
12/28/2014	12/23/2014	1/2/2015	0
1/7/2015	1/2/2015	1/12/2015	0
1/17/2015	1/12/2015	1/22/2015	0
1/27/2015	1/22/2015	2/1/2015	0
2/6/2015	2/1/2015	2/11/2015	0
2/16/2015	2/11/2015	2/21/2015	0
2/26/2015	2/21/2015	3/3/2015	0
3/8/2015	3/3/2015	3/13/2015	0
3/18/2015	3/13/2015	3/23/2015	0
3/28/2015	3/23/2015	4/2/2015	0
4/7/2015	4/2/2015	4/12/2015	0
4/17/2015	4/12/2015	4/22/2015	0
4/27/2015	4/22/2015	5/2/2015	0
5/7/2015	5/2/2015	5/12/2015	0
5/17/2015	5/12/2015	5/22/2015	0
5/27/2015	5/22/2015	6/1/2015	0
6/6/2015	6/1/2015	6/11/2015	0
6/16/2015	6/11/2015	6/21/2015	0
6/26/2015	6/21/2015	7/1/2015	0
7/6/2015	7/1/2015	7/11/2015	0
7/16/2015	7/11/2015	7/21/2015	0
7/26/2015	7/21/2015	7/31/2015	0
8/5/2015	7/31/2015	8/10/2015	0
8/15/2015	8/10/2015	8/20/2015	0
8/25/2015	8/20/2015	8/30/2015	0
9/4/2015	8/30/2015	9/9/2015	0
9/14/2015	9/9/2015	9/19/2015	0
9/24/2015	9/19/2015	9/29/2015	0
10/4/2015	9/29/2015	10/9/2015	0
10/14/2015	10/9/2015	10/19/2015	0
10/24/2015	10/19/2015	10/29/2015	0
11/3/2015	10/29/2015	11/8/2015	0
11/13/2015	11/8/2015	11/18/2015	0
11/23/2015	11/18/2015	11/28/2015	0
12/3/2015	11/28/2015	12/8/2015	0
12/13/2015	12/8/2015	12/18/2015	0
12/23/2015	12/18/2015	12/28/2015	0
1/2/2016	12/28/2015	1/7/2016	0
1/12/2016	1/7/2016	1/17/2016	0
1/22/2016	1/17/2016	1/27/2016	0
2/1/2016	1/27/2016	2/6/2016	0
2/11/2016	2/6/2016	2/16/2016	0
2/21/2016	2/16/2016	2/26/2016	0
3/2/2016	2/26/2016	3/7/2016	0
3/12/2016	3/7/2016	3/17/2016	0
3/22/2016	3/17/2016	3/27/2016	0
4/1/2016	3/27/2016	4/6/2016	0
4/11/2016	4/6/2016	4/16/2016	0
4/21/2016	4/16/2016	4/26/2016	0
5/1/2016	4/26/2016	5/6/2016	0
5/11/2016	5/6/2016	5/16/2016	0
5/21/2016	5/16/2016	5/26/2016	0
5/31/2016	5/26/2016	6/5/2016	0
6/10/2016	6/5/2016	6/15/2016	0
6/20/2016	6/15/2016	6/25/2016	0
6/30/2016	6/25/2016	7/5/2016	0
7/10/2016	7/5/2016	7/15/2016	0
7/20/2016	7/15/2016	7/25/2016	0
7/30/2016	7/25/2016	8/4/2016	0
